,date,mkt_rf,smb,hml,cma,rf,returns_percentage,monthly_return_percentage,cumulative_monthly_return_percentage
41,2021-07,1.27,-4.62,-1.76,-0.48,0.0,-6.101727397388357,0.9949152271688431,0.9161658582092421
42,2021-08,2.91,-0.67,-0.16,-1.76,0.0,-3.9320264427673215,0.9967233112976939,0.9131638678922093
43,2021-09,-4.37,1.14,5.08,2.14,0.0,7.139817331381937,1.0059498477761517,0.9185970539008498
44,2021-10,6.65,-2.7,-0.48,-1.44,0.0,-5.540721618809778,0.9953827319843251,0.9143556451045802
45,2021-11,-1.55,-1.76,-0.44,1.74,0.0,-9.376893033358298,0.9921859224722014,0.9072107992057528
46,2021-12,3.1,-0.77,3.28,4.43,0.01,-7.045613694220558,0.9941286552548162,0.9018842518470621
47,2022-01,-6.25,-4.05,12.75,7.71,0.0,1.5963069420630989,1.0013302557850525,0.9030839885905294
48,2022-02,-2.29,2.96,3.04,3.13,0.0,5.850284165741693,1.0048752368047849,0.9074867368895179
49,2022-03,3.05,-2.15,-1.8,3.17,0.01,-5.555301569591122,0.9953705820253407,0.9032856014779966
50,2022-04,-9.46,-0.4,6.19,5.92,0.01,10.7580201787816,1.0089650168156514,0.9113835720845826
51,2022-05,-0.34,-0.06,8.41,3.9799999999999995,0.03,5.919100502094211,1.004932583751745,0.9158790478838544
52,2022-06,-8.43,1.3,-5.97,-4.7,0.06,8.705113214337894,1.0072542610119481,0.9225230735525785
53,2022-07,9.57,1.8700000000000003,-4.1,-6.94,0.08,-15.869786665270277,0.9867751777789414,0.9103228699100211
54,2022-08,-3.7700000000000005,1.51,0.31,1.3,0.19,3.364706115534281,1.0028039217629452,0.9128753440162686
55,2022-09,-9.35,-1.0,0.03,-0.85,0.19,13.604868351567537,1.011337390292973,0.923224968080213
56,2022-10,7.83,1.8700000000000003,8.05,6.56,0.23000000000000004,-9.873486030157345,0.9917720949748688,0.9156287607260193
57,2022-11,4.6,-2.67,1.39,3.12,0.29,3.587101924704302,1.0029892516039203,0.918365805467615
